0.000000	3.375404	NC
3.375404	6.573916	NC
6.573916	8.174270	E5
8.174270	9.787653	C#aug
9.787653	11.406668	A
11.406668	13.028389	G#aug
13.028389	14.569991	E5
14.569991	16.190295	Dm
16.190295	17.791004	A
17.791004	19.396477	G#aug
19.396477	20.998820	F#m
20.998820	22.575356	F
22.575356	24.172104	A
24.172104	25.787387	Amaj7
25.787387	27.389731	F#m
27.389731	28.966267	F
28.966267	30.386727	A
30.386727	31.174218	NC
31.174218	32.174847	Gadd6
32.174847	33.775201	E5
33.775201	35.388584	C#aug
35.388584	37.007599	A
37.007599	38.629320	G#aug
38.629320	40.170922	E5
40.170922	41.791227	Dm
41.791227	43.391935	A
43.391935	44.997408	G#aug
44.997408	46.599752	F#m
46.599752	48.176288	F
48.176288	49.773036	A
49.773036	51.388319	Amaj7
51.388319	52.990662	F#m
52.990662	54.567198	F
54.567198	56.162829	A
56.162829	57.820213	A
57.820213	59.403693	F#m
59.403693	60.994116	E
60.994116	62.596532	A
62.596532	64.226604	Dm
64.226604	65.810083	F#m
65.810083	67.390730	E
67.390730	69.002923	A
69.002923	70.615116	A
70.615116	72.198596	F#m
72.198596	73.789019	E
73.789019	75.391436	A
75.391436	77.021507	Dm
77.021507	78.587937	F#m
78.587937	80.185633	E
80.185633	81.797826	A
81.797826	82.786244	A
82.786244	83.385866	A
83.385866	84.986221	E5
84.986221	86.599603	C#aug
86.599603	88.180250	A
88.180250	89.840339	G#aug
89.840339	91.381942	E5
91.381942	93.002246	Dm
93.002246	94.602955	A
94.602955	96.172754	G#aug
96.172754	97.783822	F#m
97.783822	99.387307	F
99.387307	100.984055	A
100.984055	102.567328	Amaj7
102.567328	104.193782	F#m
104.193782	105.778218	F
105.778218	107.343744	A
107.343744	108.987886	A
108.987886	110.571365	F#m
110.571365	112.161788	E
112.161788	113.764205	A
113.764205	115.394276	Dm
115.394276	116.977756	F#m
116.977756	118.558402	E
118.558402	120.170595	A
120.170595	121.782789	A
121.782789	123.366268	F#m
123.366268	124.956691	E
124.956691	126.559108	A
126.559108	128.189179	Dm
128.189179	129.755609	F#m
129.755609	131.353305	E
131.353305	132.965499	A
132.965499	134.577692	A
134.577692	136.189885	C#aug
136.189885	137.779417	C#aug
137.779417	139.391610	Esus4
139.391610	141.003803	Esus4
141.003803	142.615997	A
142.615997	144.180544	A
144.180544	145.792738	A
145.792738	147.404931	A
147.404931	149.017124	C#aug
149.017124	150.606656	C#aug
150.606656	152.218849	Esus4
152.218849	153.831042	Esus4
153.831042	155.443235	A
155.443235	157.007783	A
157.007783	158.591263	F#m
158.591263	160.181686	E
160.181686	161.784103	A
161.784103	163.414174	Dm
163.414174	164.997653	F#m
164.997653	166.578300	E
166.578300	168.190493	A
168.190493	169.802686	A
169.802686	171.386166	F#m
171.386166	172.976589	E
172.976589	174.579006	A
174.579006	176.209077	Dm
176.209077	177.775507	F#m
177.775507	179.373203	E
179.373203	180.985396	A5
180.985396	182.475644	A5
